행정동,통,반,관할구역
배곧1동,1,1,"배곧동 7 센텀베이1차 101동, 상가"
배곧1동,1,2,배곧동 7 센텀베이1차 102동
배곧1동,1,3,배곧동 7 센텀베이1차 103동
배곧1동,1,4,배곧동 7 센텀베이1차 104동
배곧1동,2,1,배곧동 7 센텀베이1차 105동
배곧1동,2,2,배곧동 7 센텀베이1차 106동
배곧1동,2,3,"배곧동 7 센텀베이1차 107동, 배곧동 18-1, 18-3～5, 18-7～12, 18-14～16"
배곧1동,3,1,"배곧동 5 중흥에스클래스 101동, 상가"
배곧1동,3,2,배곧동 5 중흥에스클래스 102동
배곧1동,3,3,배곧동 5 중흥에스클래스 103동
배곧1동,3,4,배곧동 5 중흥에스클래스 104동
배곧1동,3,5,배곧동 5 중흥에스클래스 105동
배곧1동,3,6,배곧동 5 중흥에스클래스 106동
배곧1동,4,1,배곧동 5 중흥에스클래스 107동
배곧1동,4,2,배곧동 5 중흥에스클래스 108동
배곧1동,4,3,배곧동 5 중흥에스클래스 109동
배곧1동,4,4,배곧동 5 중흥에스클래스 110동
배곧1동,4,5,배곧동 5 중흥에스클래스 111동
배곧1동,4,6,배곧동 5 중흥에스클래스 112동
배곧1동,4,7,배곧동 5 중흥에스클래스 113동
배곧1동,5,1,배곧동 5 중흥에스클래스 114동
배곧1동,5,2,배곧동 5 중흥에스클래스 115동
배곧1동,5,3,배곧동 5 중흥에스클래스 116동
배곧1동,5,4,배곧동 5 중흥에스클래스 117동
배곧1동,5,5,배곧동 5 중흥에스클래스 118동
배곧1동,5,6,배곧동 5 중흥에스클래스 119동
배곧1동,5,7,배곧동 5 중흥에스클래스 120동
배곧1동,6,1,"배곧동 14 이지더원1차 더 퍼스트 101동, 상가"
배곧1동,6,2,배곧동 14 이지더원1차 더 퍼스트 102동
배곧1동,6,3,배곧동 14 이지더원1차 더 퍼스트 103동
배곧1동,6,4,배곧동 14 이지더원1차 더 퍼스트 104동
배곧1동,7,1,배곧동 14 이지더원1차 더 퍼스트 105동
배곧1동,7,2,배곧동 14 이지더원1차 더 퍼스트 106동
배곧1동,7,3,배곧동 14 이지더원1차 더 퍼스트 107동
배곧1동,7,4,배곧동 14 이지더원1차 더 퍼스트 108동
배곧1동,7,5,배곧동 14 이지더원1차 더 퍼스트 109동
배곧1동,8,1,"배곧동 117～119, 121～128, 131～133"
배곧1동,8,2,"배곧동 78-1～5, 78-7～11, 78-13～19, 78-21～24, 83-1～8, 85-1～14, 88-1～4, 88-6～8, 90-1～3, 90-5～8, 92-1～6, 93-1～5, 97-1～7, 99-1～6, 100-1～3, 100-5～9, 100-17～19, 101-3～4, 101-6～8, 101-14～18, 101-22～26, 101-31～33, 101-35～38, 103-1～5, 106-2～4, 108-1～8, 110-1～8, 111-1～7, 112-1～4, 113-1～6"
배곧1동,8,3,"배곧동 82-1～4, 100-12～15, 101-1, 101-9～12, 101-28～30, 102-1～4, 114-1～4, 140, 141"
배곧1동,9,1,"배곧동 58 골드클래스 101동, 상가"
배곧1동,9,2,배곧동 58 골드클래스 102동
배곧1동,9,3,배곧동 58 골드클래스 103동
배곧1동,9,4,배곧동 58 골드클래스 104동
배곧1동,9,5,배곧동 58 골드클래스 105동
배곧1동,10,1,배곧동 58 골드클래스 106동
배곧1동,10,2,배곧동 58 골드클래스 107동
배곧1동,10,3,배곧동 58 골드클래스 108동
배곧1동,10,4,배곧동 58 골드클래스 109동
배곧1동,10,5,배곧동 58 골드클래스 110동
배곧1동,11,1,배곧동 57 센텀베이2차 501동
배곧1동,11,2,배곧동 57 센텀베이2차 502동
배곧1동,11,3,배곧동 57 센텀베이2차 503동
배곧1동,11,4,배곧동 57 센텀베이2차 504동
배곧1동,11,5,배곧동 57 센텀베이2차 505동
배곧1동,12,1,배곧동 57 센텀베이2차 506동
배곧1동,12,2,배곧동 57 센텀베이2차 507동
배곧1동,12,3,"배곧동 57 센텀베이2차 508동, 상가"
배곧1동,12,4,"배곧동 57 센텀베이2차 509동, 배곧동 61, 63, 65～66, 68～69, 72～73, 75～77"
배곧1동,13,1,배곧동 55 대방노블랜드 601동
배곧1동,13,2,배곧동 55 대방노블랜드 602동
배곧1동,13,3,배곧동 55 대방노블랜드 603동
배곧1동,14,1,배곧동 55 대방노블랜드 604동
배곧1동,14,2,배곧동 55 대방노블랜드 605동
배곧1동,14,3,배곧동 55 대방노블랜드 606동
배곧1동,15,1,"배곧동 55 대방노블랜드 607동, 상가"
배곧1동,15,2,배곧동 55 대방노블랜드 608동
배곧1동,15,3,배곧동 55 대방노블랜드 609동
배곧1동,15,4,배곧동 55 대방노블랜드 610동
배곧1동,16,1,"배곧동 135 에스케이뷰 701동, 상가"
배곧1동,16,2,배곧동 135 에스케이뷰 702동
배곧1동,16,3,배곧동 135 에스케이뷰 703동
배곧1동,16,4,배곧동 135 에스케이뷰 704동
배곧1동,16,5,배곧동 135 에스케이뷰 705동
배곧1동,16,6,배곧동 135 에스케이뷰 706동
배곧1동,17,1,배곧동 135 에스케이뷰 707동
배곧1동,17,2,배곧동 135 에스케이뷰 708동
배곧1동,17,3,배곧동 135 에스케이뷰 709동
배곧1동,17,4,배곧동 135 에스케이뷰 710동
배곧1동,17,5,배곧동 135 에스케이뷰 711동
배곧1동,17,6,배곧동 135 에스케이뷰 712동
배곧1동,18,1,배곧동 135 에스케이뷰 713동
배곧1동,18,2,배곧동 135 에스케이뷰 714동
배곧1동,18,3,배곧동 135 에스케이뷰 715동
배곧1동,18,4,배곧동 135 에스케이뷰 716동
배곧1동,18,5,배곧동 135 에스케이뷰 717동
배곧1동,19,1,"배곧동 139 호반베르디움센트럴파크 801동, 상가"
배곧1동,19,2,배곧동 139 호반베르디움센트럴파크 802동
배곧1동,19,3,배곧동 139 호반베르디움센트럴파크 803동
배곧1동,19,4,배곧동 139 호반베르디움센트럴파크 804동
배곧1동,19,5,배곧동 139 호반베르디움센트럴파크 805동
배곧1동,20,1,배곧동 139 호반베르디움센트럴파크 806동
배곧1동,20,2,배곧동 139 호반베르디움센트럴파크 807동
배곧1동,20,3,배곧동 139 호반베르디움센트럴파크 808동
배곧1동,20,4,배곧동 139 호반베르디움센트럴파크 809동
배곧1동,20,5,배곧동 139 호반베르디움센트럴파크 810동
배곧1동,21,1,배곧동 139 호반베르디움센트럴파크 811동
배곧1동,21,2,배곧동 139 호반베르디움센트럴파크 812동
배곧1동,21,3,배곧동 139 호반베르디움센트럴파크 813동
배곧1동,21,4,배곧동 139 호반베르디움센트럴파크 814동
배곧1동,21,5,배곧동 139 호반베르디움센트럴파크 815동
배곧1동,22,1,"배곧동 150 호반베르디움 더프라임 901동, 상가"
배곧1동,22,2,배곧동 150 호반베르디움 더프라임 902동
배곧1동,22,3,배곧동 150 호반베르디움 더프라임 903동
배곧1동,22,4,배곧동 150 호반베르디움 더프라임 904동
배곧1동,23,1,배곧동 150 호반베르디움 더프라임 905동
배곧1동,23,2,배곧동 150 호반베르디움 더프라임 906동
배곧1동,23,3,배곧동 150 호반베르디움 더프라임 907동
배곧1동,23,4,배곧동 150 호반베르디움 더프라임 908동
배곧1동,23,5,배곧동 150 호반베르디움 더프라임 909동
배곧1동,24,1,배곧동 150 호반베르디움 더프라임 910동
배곧1동,24,2,배곧동 150 호반베르디움 더프라임 911동
배곧1동,24,3,배곧동 150 호반베르디움 더프라임 912동
배곧1동,24,4,배곧동 150 호반베르디움 더프라임 913동
배곧1동,24,5,배곧동 150 호반베르디움 더프라임 914동
배곧1동,25,1,"배곧동 155 한신더휴 1001동, 상가"
배곧1동,25,2,배곧동 155 한신더휴 1002동
배곧1동,25,3,배곧동 155 한신더휴 1003동
배곧1동,25,4,배곧동 155 한신더휴 1004동
배곧1동,25,5,배곧동 155 한신더휴 1005동
배곧1동,26,1,배곧동 155 한신더휴 1006동
배곧1동,26,2,배곧동 155 한신더휴 1007동
배곧1동,26,3,배곧동 155 한신더휴 1008동
배곧1동,26,4,배곧동 155 한신더휴 1009동
배곧1동,26,5,배곧동 155 한신더휴 1010동
배곧1동,27,1,배곧동 155 한신더휴 1011동
배곧1동,27,2,배곧동 155 한신더휴 1012동
배곧1동,27,3,배곧동 155 한신더휴 1013동
배곧1동,27,4,배곧동 155 한신더휴 1014동
배곧1동,27,5,배곧동 155 한신더휴 1015동
배곧1동,27,6,배곧동 155 한신더휴 1016동
배곧1동,28,1,"배곧동 174 호반베르디움 센트로하임 1101동, 상가"
배곧1동,28,2,배곧동 174 호반베르디움 센트로하임 1102동
배곧1동,28,3,배곧동 174 호반베르디움 센트로하임 1103동
배곧1동,28,4,배곧동 174 호반베르디움 센트로하임 1104동
배곧1동,28,5,배곧동 174 호반베르디움 센트로하임 1105동
배곧1동,28,6,배곧동 174 호반베르디움 센트로하임 1106동
배곧1동,29,1,배곧동 174 호반베르디움 센트로하임 1107동
배곧1동,29,2,배곧동 174 호반베르디움 센트로하임 1108동
배곧1동,29,3,배곧동 174 호반베르디움 센트로하임 1109동
배곧1동,29,4,배곧동 174 호반베르디움 센트로하임 1110동
배곧1동,29,5,"배곧동 174 호반베르디움 센트로하임 1111동, 배곧동 171"
배곧1동,30,1,배곧동 174 호반베르디움 센트로하임 1112동
배곧1동,30,2,배곧동 174 호반베르디움 센트로하임 1113동
배곧1동,30,3,배곧동 174 호반베르디움 센트로하임 1114동
배곧1동,30,4,배곧동 174 호반베르디움 센트로하임 1115동
배곧1동,30,5,배곧동 174 호반베르디움 센트로하임 1116동
배곧1동,31,1,배곧동 174 호반베르디움 센트로하임 1117동
배곧1동,31,2,배곧동 174 호반베르디움 센트로하임 1118동
배곧1동,31,3,배곧동 174 호반베르디움 센트로하임 1119동
배곧1동,31,4,배곧동 174 호반베르디움 센트로하임 1120동
배곧1동,32,1,배곧1동 중 1통 ~ 31통 제외
