code,법정동(동단위),별표명,별칭(juso공식명),juso지번,근거
31150510,대야동,시흥은계어반리더스,은계어반리더스,659,지번일치
31150510,대야동,한신아파트,우남한신아파트,288,지번일치
31150520,신천동,경신아파트,둥지경신아파트,852-16,지번일치
31150520,신천동,한영아파트,한영둥지아파트,857-2,지번일치
31150520,신천동,경남,경남아너스빌아파트,943-1,지번일치
31150520,신천동,삼환나우빌,시흥신천삼환나우빌,949,지번일치
31150520,신천동,코아루웰라움,신천코아루웰라움,953,지번일치
31150540,은행동,광덕아파트,광덕2차아파트,99-16,지번일치
31150540,은행동,대우아파트,대우그린아파트,546,지번일치
31150540,은행동,산호아파트,산호2차아파트,241-1,지번일치
31150540,은행동,산호아파트,산호A.P.T,243-1,지번일치
31150540,은행동,동경아파트,동경5차아파트,241,지번일치
31150540,은행동,동도빌라,"동도빌라(5,6동)",322-1,지번일치
31150540,은행동,성원아파트,시흥성원아파트,538-2,지번일치
31150540,은행동,녹원아파트,은행마을 녹원아파트,289-33,지번일치
31150540,은행동,벽산아파트,벽산아파트 상가동,547-1,지번일치
31150540,은행동,대우3차아파트,대우3차아파트(유치원),549-1,지번일치
31150540,은행동,우남아파트,우남아파트상가 2동,599,지번일치
31150540,은행동,우남아파트,우남아파트상가 1동,599,지번일치
31150540,은행동,풍림아파트,풍림 아이원 아파트,250-5,지번일치
31150540,은행동,시흥은계센트럴타운,은계센트럴타운,619,지번일치
31150550,매화동,예림,예림빌라,368-22,지번일치
31150550,매화동,진양,진양6차아파트,262-1,지번일치
31150550,매화동,공작,공작주택,314-1,지번일치
31150550,매화동,미주,미주빌라,241,지번일치
31150550,매화동,럭키타운,럭키타운빌라,264-3,이름확장(단일후보)
31150560,목감동,세우 아,세우아파트,171,지번일치
31150560,목감동,한양수자인아파트,목감 한양수자인아파트,160-59,지번일치
31150560,목감동,신안인스빌,신안 인스빌 엘센트로,676,지번일치
31150560,목감동,중흥S클래스,목감중흥에스클래스레이크힐스,496,지번일치
31150611,정왕2동,화성아파트,화성아파트 상가동,1874-2,지번일치
31150611,정왕2동,영남아파트,영남아파트 상가동,1873-2,지번일치
31150611,정왕2동,영남아파트,영남3차아파트,1872-4,지번일치
31150611,정왕2동,아주아파트,아주아파트(상가동),1394,지번일치
31150611,정왕2동,주공아파트,주공아파트(나상가동),1844,지번일치
31150611,정왕2동,주공아파트,시화주공아파트(분산상가동),1869,지번일치
31150611,정왕2동,주공아파트,주공2단지아파트,1868,지번일치
31150611,정왕2동,주공아파트,주공3단지아파트,1869,지번일치
31150611,정왕2동,주공아파트,주공5단지아파트,1844,지번일치
31150611,정왕2동,주공아파트,주공4단지아파트,1843,지번일치
31150611,정왕2동,주공아파트,주공2단지아파트(분산상가동),1868,지번일치
31150611,정왕2동,주공아파트,주공4단지아파트(나상가동),1843,지번일치
31150611,정왕2동,계룡아파트,계룡리슈빌아파트,1846,지번일치
31150611,정왕2동,계룡아파트,계룡1차아파트,1846,지번일치
31150620,정왕3동,한일아파트,한일아파트(분산상가동),1865,지번일치
31150620,정왕3동,영남아파트,영남5차아파트 상가동,1866-6,지번일치
31150620,정왕3동,영남아파트,영남5차아파트,1866-6,지번일치
31150620,정왕3동,주공아파트,주공1단지아파트,1864,지번일치
31150620,정왕3동,신호아파트,신호새피앙아파트(상가동),1867-3,지번일치
31150620,정왕3동,계룡아파트,계룡2차아파트,1942-1,지번일치
31150620,정왕3동,대림아파트,대림1차아파트,1863,지번일치
31150640,정왕본동,시흥6차푸르지오2단지,시흥6차푸르지오2단지 상가동,752,지번일치
31150640,정왕본동,시흥6차푸르지오2단지,시흥6차푸르지오2단지 보육시설,752,지번일치
31150640,정왕본동,시흥6차푸르지오1단지,시흥6차푸르지오1단지 상가동,759,지번일치
31150650,정왕1동,영남아파트,영남 6차아파트,1790,지번일치
31150650,정왕1동,영남아파트,영남 6차아파트 상가동,1790,지번일치
31150650,정왕1동,건영아파트,시화5차평안마을건영아파트,1788-1,지번일치
31150650,정왕1동,건영아파트,시화5차평안마을건영아파트 상가동,1788-1,지번일치
31150650,정왕1동,주공아파트,주공6단지아파트,1787-1,지번일치
31150650,정왕1동,유천아파트,유천아파트(상가동),1628,지번일치
31150650,정왕1동,유천아파트,시화유천아파트,1628,지번일치
31150670,능곡동,우남2차퍼스트빌아파트,우남퍼스트빌 2차아파트,493,지번일치
