통,유형,사유
33,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
35,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
37,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
38,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
40,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
42,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
44,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
48,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
49,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
52,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
54,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
55,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
56,아파트,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
57,일반,지적도에 해당 지번 없음
