_dong,_jib,통
과림동,320,3.0
과림동,322,3.0
과림동,330,3.0
과림동,339,3.0
과림동,340,3.0
과림동,341,3.0
과림동,344,3.0
과림동,347,3.0
과림동,365,3.0
과림동,367,3.0
과림동,368,3.0
과림동,377,3.0
과림동,211,3.0
과림동,395,3.0
과림동,399,3.0
과림동,417,3.0
과림동,213,3.0
과림동,215,3.0
과림동,217,3.0
과림동,218,3.0
과림동,221,3.0
과림동,223,3.0
과림동,224,3.0
과림동,225,3.0
과림동,226,3.0
과림동,227,3.0
과림동,228,3.0
과림동,229,3.0
과림동,82,3.0
과림동,97,3.0
과림동,98,3.0
과림동,99,3.0
과림동,120,3.0
과림동,140,3.0
과림동,160,3.0
과림동,165,3.0
과림동,166,3.0
과림동,177,3.0
과림동,194,3.0
과림동,230,3.0
과림동,231,3.0
과림동,203,3.0
과림동,205,3.0
과림동,207,3.0
과림동,208,3.0
과림동,232,3.0
과림동,233,3.0
과림동,235,3.0
과림동,236,3.0
과림동,237,3.0
과림동,238,3.0
과림동,257,3.0
과림동,261,3.0
과림동,264,3.0
과림동,265,3.0
과림동,268,3.0
과림동,269,3.0
과림동,270,3.0
과림동,272,3.0
과림동,273,3.0
과림동,276,3.0
과림동,277,3.0
과림동,278,3.0
과림동,279,3.0
과림동,280,3.0
과림동,282,3.0
과림동,283,3.0
과림동,284,3.0
과림동,285,3.0
과림동,309,3.0
과림동,310,3.0
