통,반,_dong,_jib,_fill
17,0,화정동,산118-2,road_match
17,0,화정동,651-3,road_match
17,0,화정동,651-5,road_match
17,0,화정동,733,road_match
17,0,화정동,735,road_match
17,0,화정동,736,road_match
17,0,화정동,736-4,road_match
17,0,화정동,738,road_match
17,0,화정동,741-2,road_match
17,0,화정동,741-4,road_match
17,0,화정동,741-5,road_match
17,0,화정동,산100-12,road_match
16,0,능곡동,산79-2,road_match
15,0,능곡동,110,road_match
17,0,능곡동,366-1,road_match
17,0,능곡동,460,road_match
1,0,능곡동,471-1,road_match
22,0,능곡동,473,road_match
22,0,능곡동,480,road_match
22,0,능곡동,482,road_match
22,0,능곡동,488,road_split
5,0,능곡동,488,road_split
16,0,능곡동,488,road_split
2,0,능곡동,498,road_match
2,0,능곡동,499,road_match
15,0,능곡동,503,road_split
2,0,능곡동,503,road_split
15,0,능곡동,546,road_split
2,0,능곡동,546,road_split
4,0,능곡동,546,road_split
3,0,능곡동,546,road_split
3,0,능곡동,549,road_match
4,0,능곡동,553,road_split
3,0,능곡동,553,road_split
4,0,능곡동,556,road_split
5,0,능곡동,556,road_split
16,0,능곡동,560,road_match
16,0,능곡동,577,road_match
16,0,능곡동,641,road_match
16,0,능곡동,658,road_match
16,0,능곡동,680,road_match
16,0,능곡동,706,road_match
16,0,능곡동,709,road_split
11,0,능곡동,709,road_split
11,0,능곡동,711,road_match
15,0,능곡동,716,road_match
15,0,능곡동,716-1,road_match
15,0,능곡동,716-3,road_match
15,0,능곡동,716-5,road_match
15,0,능곡동,717,road_match
15,0,능곡동,717-1,road_match
15,0,능곡동,717-3,road_match
15,0,능곡동,717-4,road_match
15,0,능곡동,732,road_match
15,0,능곡동,763,road_split
16,0,능곡동,763,road_split
6,0,능곡동,769,road_split
7,0,능곡동,769,road_split
15,0,능곡동,769,road_split
12,0,능곡동,769,road_split
7,0,능곡동,770,road_split
15,0,능곡동,770,road_split
7,0,능곡동,773,road_split
8,0,능곡동,773,road_split
8,0,능곡동,784,road_split
15,0,능곡동,784,road_split
13,0,능곡동,784,road_split
9,0,능곡동,784,road_split
16,0,능곡동,784,road_split
9,0,능곡동,788,road_split
10,0,능곡동,788,road_split
10,0,능곡동,790,road_match
9,0,능곡동,794,road_match
13,0,능곡동,801,road_split
14,0,능곡동,801,road_split
13,0,능곡동,803,road_split
9,0,능곡동,803,road_split
14,0,능곡동,803,road_split
17,0,능곡동,803,road_split
10,0,능곡동,803,road_split
16,0,능곡동,803,road_split
11,0,능곡동,803,road_split
18,0,능곡동,805,road_match
18,0,능곡동,805-1,road_match
17,0,능곡동,814,road_match
17,0,능곡동,817,road_match
17,0,능곡동,819,road_match
17,0,능곡동,844,road_match
25,0,능곡동,873,road_match
24,0,능곡동,876,road_match
31,0,능곡동,881,road_match
28,0,능곡동,891,road_match
28,0,능곡동,892,road_match
26,0,능곡동,895,road_split
28,0,능곡동,895,road_split
28,0,능곡동,896,road_split
31,0,능곡동,896,road_split
31,0,능곡동,897,road_match
31,0,능곡동,899,road_match
18,0,군자동,154-2,road_match
18,0,군자동,174-13,road_match
31,0,군자동,174-14,road_split
18,0,군자동,174-14,road_split
18,0,군자동,750,road_match
18,0,군자동,751,road_match
18,0,군자동,751-2,road_match
18,0,군자동,751-4,road_match
18,0,군자동,752,road_match
18,0,군자동,754,road_match
18,0,군자동,757,road_match
18,0,군자동,758,road_match
31,0,군자동,790,road_match
31,0,군자동,792,road_match
31,0,군자동,794,road_match
31,0,군자동,796,road_match
31,0,군자동,798,road_match
31,0,군자동,800,road_match
31,0,군자동,802,road_match
31,0,군자동,804,road_match
31,0,군자동,806,road_match
31,0,군자동,808,road_match
31,0,군자동,809,road_match
31,0,군자동,811,road_match
31,0,군자동,812,road_match
31,0,군자동,813-17,road_split
18,0,군자동,813-17,road_split
31,0,군자동,816-2,road_split
18,0,군자동,816-2,road_split
26,0,군자동,817,road_split
31,0,군자동,817,road_split
28,0,군자동,817,road_split
32,0,군자동,818,road_split
31,0,군자동,818,road_split
26,0,군자동,818,road_split
32,0,군자동,820,road_split
26,0,군자동,820,road_split
32,0,군자동,822,road_split
26,0,군자동,822,road_split
18,0,군자동,828,road_split
32,0,군자동,828,road_split
18,0,군자동,831-2,road_match
18,0,군자동,산22-20,road_match
18,0,군자동,산22-21,road_match
18,0,군자동,산22-22,road_match
18,0,군자동,산26-1,road_match
31,0,군자동,산32-4,road_split
18,0,군자동,산32-4,road_split
18,0,군자동,산32-17,road_split
31,0,군자동,산32-17,road_split
18,0,군자동,산32-19,road_match
18,0,군자동,산42-2,road_match
