유형,행정동,통,조각필지수,본체에서_거리(m),상세/사유/지번
미표시,대야동,4,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,대야동,5,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,대야동,13,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,대야동,21,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,대야동,25,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,대야동,27,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,대야동,29,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,대야동,35,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,대야동,36,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,대야동,37,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,대야동,38,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,대야동,58,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,대야동,59,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,신천동,20,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,신현동,3,,,지적도에 해당 지번 없음
미표시,신현동,4,,,지적도에 해당 지번 없음
미표시,신현동,5,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,신현동,6,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,신현동,7,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,신현동,8,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,신현동,9,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,신현동,10,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,신현동,11,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,신현동,12,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,신현동,13,,,표에 지번 없음/지적도에 없음(아파트 단지명 등)
미표시,신현동,18,,,사유 미상
미표시,은행동,33,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,은행동,35,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,은행동,37,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,은행동,38,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,은행동,40,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,은행동,42,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,은행동,44,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,은행동,48,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,은행동,49,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,은행동,52,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
미표시,은행동,54,,,지번은 지적도에 있으나 충돌(min_tong)로 다른 통에 흡수
