행정동,통,반,관할구역
군자동,1,1,거모동 1658-40
군자동,1,2,거모동 1659~1669-24
군자동,1,3,거모동 1733-1~10
군자동,1,4,"거모동 1744-1~13, 1775-1~2"
군자동,1,5,거모동 1769-22
군자동,2,1,거모동 1745-1～16
군자동,2,2,거모동 1746-1～15
군자동,2,3,거모동 1744-1～20
군자동,3,1,거모동 491～537
군자동,3,2,거모동 539～584
군자동,3,3,"거모동 585～592, 642～664-1"
군자동,3,4,"거모동 707～761, 800～1080"
군자동,4,1,"거모동 180～247, 산79, 산87"
군자동,4,2,거모동 248～280
군자동,4,3,"거모동 281, 282, 295 ~ 340, 667 ~ 693"
군자동,4,4,거모동 694～706
군자동,5,1,"거모동 1757-1~7, 1758-1~11"
군자동,5,2,거모동 1759-1~6
군자동,5,3,"거모동 1761-1~16, 1770-1~13"
군자동,5,4,"거모동 1760-1~16, 1762-1~4"
군자동,6,1,군자동 367～405
군자동,6,2,군자동 281～366
군자동,6,3,군자동 406～528-2
군자동,6,4,군자동 529～743-1
군자동,7,1,거모동 1474-1(일우아파트 1동)
군자동,7,2,거모동 1474-1(일우아파트 2동)
군자동,7,3,거모동 1474-1(일우아파트 3동)
군자동,7,4,거모동 1474-1(일우아파트 4동)
군자동,7,5,거모동 1474-1(일우아파트 5동)
군자동,7,6,거모동 1474-1(일우아파트 6동)
군자동,7,7,거모동 1474-1(일우아파트 7동)
군자동,7,8,거모동 1474-1(일우아파트 8동)
군자동,8,1,"거모동 1713-1～4, 1714-1～4"
군자동,8,2,"거모동 1720-1～7, 1719-1～11"
군자동,8,3,거모동 1721-1～10
군자동,9,1,거모동 1470-1(아주1차아파트 101호～312호)
군자동,9,2,거모동 1470-1(아주1차아파트 401호～612호)
군자동,9,3,거모동 1731-1(아주2차아파트 101호~313호)
군자동,9,4,"거모동 1731-1(아주2차아파트 401호~706호), 1732-3"
군자동,10,1,거모동 1739-1～10
군자동,10,2,"거모동 1748-1～9, 1748-16～27"
군자동,10,3,"거모동 1318～1334, 1748-10～15"
군자동,11,1,거모동 1750-1～11
군자동,11,2,거모동 1755-1～14
